OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
HST,1990-037B,2024-11-28T15:57:08.244000,15.21396358,.0002115,28.4698,320.4190,41.5169,318.5585,0,U,20580,999,70207,.6157E-3,.14424E-3,0
POLAR,1996-013A,2024-11-21T18:45:05.212512,1.29846786,.5967963,79.2499,233.1228,228.4010,62.4543,0,U,23802,999,13742,0,.137E-5,0
SWAS,1998-071A,2024-11-28T11:49:10.196832,15.03264632,.0004765,69.8983,240.0000,14.0576,346.0716,0,U,25560,999,41205,.95837E-3,.1294E-3,0
CXO,1999-040B,2024-12-02T02:27:35.104032,0.37806732,.8701992,44.9628,140.7483,304.6886,0.0128,0,U,25867,999,2635,0,.64E-5,0
XMM-NEWTON,1999-066A,2024-11-24T23:06:45.164736,0.50140222,.4994927,67.1521,290.6193,74.6606,0.2373,0,U,25989,999,2015,0,-.34E-6,0
TERRA,1999-068A,2024-11-29T02:39:08.789760,14.60267380,.0002094,98.0285,32.6192,174.2271,214.1335,0,U,25994,999,32723,.34404E-3,.1616E-4,0
CLUSTER II-FM7 (SAMBA),2000-041A,2024-11-27T03:57:45.554976,0.44220033,.7908879,141.2367,2.9488,218.0524,0.6057,0,U,26410,999,2952,0,.1063E-4,0
CLUSTER II-FM5 (RUMBA),2000-045A,2024-11-30T16:41:02.205024,0.42912235,.8863026,153.3274,39.8071,256.3284,0.3561,0,U,26463,999,1770,0,.585E-4,0
CLUSTER II-FM8 (TANGO),2000-045B,2024-11-11T08:03:47.370816,0.44221711,.786984,141.0419,2.4124,217.5188,0.7328,0,U,26464,999,6537,0,.53E-5,0
ODIN,2001-007A,2024-11-29T00:51:48.448224,15.30349751,.000885,97.4671,349.2710,63.8627,296.3523,0,U,26702,999,30265,.92759E-3,.27251E-3,0
TIMED,2001-055B,2024-11-28T20:38:57.941376,14.92756885,.0003136,74.0699,291.3667,275.6248,84.4577,0,U,26998,999,24638,.49255E-3,.5055E-4,0
INTEGRAL,2002-048A,2024-11-28T19:25:20.993664,0.37579574,.8622622,90.4669,13.3182,277.2148,353.0185,0,U,27540,999,2450,0,-.145E-5,0
CORIOLIS,2003-001A,2024-11-28T21:04:25.982400,14.19649086,.0014832,98.7143,338.4943,44.1849,316.0509,0,U,27640,999,13400,.2505E-3,.486E-5,0
SORCE,2003-004A,2024-11-28T19:29:49.540416,14.97847304,.0021871,39.9921,234.8344,316.0168,43.8884,0,U,27651,999,18691,.864E-3,.10256E-3,0
MOST,2003-031D,2024-11-29T00:43:19.844256,14.21099988,.0011015,98.7074,338.6625,84.7879,275.4554,0,U,27843,999,11043,.19146E-3,.372E-5,0
SCISAT 1,2003-036A,2024-11-28T15:28:17.718528,14.80030062,.0006355,73.9314,213.9632,40.0584,320.1059,0,U,27858,999,14773,.37095E-3,.2775E-4,0
SWIFT,2004-047A,2024-11-28T15:15:23.167584,15.27202110,.000612,20.5556,77.5789,251.2589,108.7185,0,U,28485,999,9942,.11454E-2,.32235E-3,0
CALIPSO,2006-016B,2024-11-28T22:35:56.446656,14.67120062,.0001109,98.4343,320.1941,83.6701,276.4628,0,U,29108,999,99009,.71441E-3,.3964E-4,0
HINODE (SOLAR-B),2006-041A,2024-11-29T00:24:17.625024,14.67255646,.0016458,98.0826,347.0825,280.6641,79.2710,0,U,29479,999,97195,.451E-3,.2498E-4,0
SHIJIAN-6 02A (SJ-6 02A),2006-046A,2024-11-29T03:31:03.017280,15.07387613,.0002017,97.7069,1.1677,292.8084,67.2930,0,U,29505,999,98697,.89789E-3,.13539E-3,0
SHIJIAN-6 02B (SJ-6 02B),2006-046B,2024-11-29T02:40:30.757440,14.98620156,.0003241,97.7269,357.4832,91.4157,268.7437,0,U,29506,999,98602,.2683E-3,.316E-4,0
FGRST (GLAST),2008-029A,2024-11-28T22:09:56.977632,15.19084545,.0009751,25.5795,156.1854,154.4025,205.6996,0,U,33053,999,90985,.30143E-3,.6834E-4,0
SDO,2010-005A,2024-11-28T08:27:00.527616,1.00272035,.0001741,33.4665,95.0330,178.9633,178.8102,0,U,36395,999,5438,0,-.48E-6,0
CRYOSAT 2,2010-013A,2024-11-28T22:29:57.783840,14.51911686,.0004184,92.0150,140.8788,87.9388,272.2298,0,U,36508,999,77606,.19329E-3,.782E-5,0
X-SAT,2011-015C,2024-11-29T03:49:15.445920,14.24888622,.0013635,98.3002,329.1369,198.0801,161.9896,0,U,37389,999,70772,.23333E-3,.505E-5,0
GCOM-W1 (SHIZUKU),2012-025A,2024-11-29T04:00:32.727744,14.57063537,.0001509,98.2205,271.8152,66.8428,46.5229,0,U,38337,999,66674,.6202E-3,.2747E-4,0
NUSTAR,2012-031A,2024-11-28T22:00:00.999936,15.00075872,.0009034,6.0267,288.4602,18.7738,137.1536,0,U,38358,999,130,.11488E-2,.15555E-3,0
NEOSSAT,2013-009D,2024-11-28T18:37:00.305472,14.35412067,.0011914,98.4011,156.8607,128.2997,231.9262,0,U,39089,999,61561,.31529E-3,.863E-5,0
BRITE-AUSTRIA,2013-009F,2024-11-28T18:29:44.615328,14.36085154,.0011192,98.3821,156.8574,124.8465,235.3776,0,U,39091,999,61588,.33162E-3,.923E-5,0
IRIS,2013-033A,2024-11-29T01:05:12.172992,14.83338146,.0025807,97.9550,163.9363,7.4320,352.7271,0,U,39197,999,61653,.56693E-3,.4618E-4,0
HISAKI (SPRINT-A),2013-049A,2024-11-28T22:21:15.964128,13.55450340,.0136737,29.7180,213.6121,114.6164,246.8719,0,U,39253,999,55467,.24876E-3,.248E-5,0
CASSIOPE,2013-055A,2024-11-28T21:10:20.629344,14.82829376,.0449683,80.9489,10.8386,111.0857,253.9040,0,U,39265,999,58268,.68486E-3,.37449E-3,0
STSAT-3,2013-066G,2024-11-29T04:02:04.946784,14.97365409,.0020316,97.5411,307.3565,159.9018,200.3008,0,U,39422,999,59948,.64147E-3,.7429E-4,0
SWARM B,2013-067A,2024-11-28T22:14:18.348000,15.22810279,.000275,87.7484,153.2693,86.2322,273.9239,0,U,39451,999,59704,.36391E-3,.8538E-4,0
SWARM A,2013-067B,2024-11-28T20:53:50.492256,15.37071472,.0003676,87.3398,263.5953,90.6762,269.4913,0,U,39452,999,61901,.5646E-3,.2053E-3,0
SWARM C,2013-067C,2024-11-29T03:08:40.378560,15.37080144,.0003676,87.3400,262.0899,90.4042,269.7632,0,U,39453,999,61906,.48369E-3,.17593E-3,0
BRITE-CA1 (TORONTO),2014-033L,2024-11-29T03:50:02.152896,14.70582151,.0080332,97.8997,105.8367,285.3534,73.8807,0,U,40020,999,55921,.58489E-3,.3684E-4,0
OCO 2,2014-035A,2024-11-28T20:49:50.358144,14.57098615,.0001581,98.2198,272.2631,85.3742,274.7637,0,U,40059,999,55372,.45432E-3,.2002E-4,0
BRITE-PL2 (HEWELIUSZ),2014-049B,2024-11-28T17:03:48.212352,14.90808971,.0015254,97.8881,72.8800,177.8501,182.2785,0,U,40119,999,55707,.74112E-3,.7255E-4,0
RESURS-P 2,2014-087A,2024-11-29T03:42:50.936544,15.82502408,.0003072,97.1384,63.7739,35.3306,324.8167,0,U,40360,999,55691,.67751E-3,.142434E-2,0
MMS 1,2015-011A,2024-11-28T22:00:00.999936,0.28502620,.8941171,56.9177,1.8616,154.0732,78.2744,0,U,40482,999,135,0,.19E-6,0
MMS 2,2015-011B,2024-11-28T22:00:00.999936,0.28500452,.8941001,56.9173,1.8620,154.0741,76.8232,0,U,40483,999,137,0,.19E-6,0
MMS 3,2015-011C,2024-11-28T22:00:00.999936,0.28500935,.8940952,56.9193,1.8602,154.0749,77.0376,0,U,40484,999,137,0,.19E-6,0
MMS 4,2015-011D,2024-11-28T22:00:00.999936,0.28502819,.8940236,56.9106,1.8673,154.0677,67.0917,0,U,40485,999,137,0,.19E-6,0
ASTROSAT,2015-052A,2024-11-28T23:59:35.398464,14.80434548,.000927,5.9969,258.0819,254.4044,105.5060,0,U,40930,999,49591,.50022E-3,.4582E-4,0
DAMPE,2015-078A,2024-11-29T03:01:10.678656,15.28333452,.0010775,97.4397,327.2103,281.1677,78.8351,0,U,41173,999,49816,.13784E-3,.3733E-4,0
PISAT,2016-059B,2024-11-28T11:07:19.538112,14.66995519,.0029268,97.8250,348.0089,208.5887,151.3714,0,U,41784,999,43673,.65842E-3,.3667E-4,0
HXMT (HUIYAN),2017-034A,2024-11-29T03:28:43.984992,15.19440568,.0009803,43.0133,78.9378,100.0334,260.1622,0,U,42758,999,41190,.82016E-3,.17532E-3,0
FLYING LAPTOP,2017-042G,2024-11-29T03:14:51.354240,14.96907217,.0011461,97.3881,145.7851,239.9817,120.0269,0,U,42831,999,40179,.60132E-3,.686E-4,0
ZHANGHENG 1 (CSES),2018-015C,2024-11-29T03:45:15.200352,15.20476840,.000637,97.6264,119.7099,339.5189,20.5790,0,U,43194,999,37876,.12192E-2,.26643E-3,0
SALSAT,2020-068K,2024-11-28T15:39:34.524288,15.17734836,.0014869,97.8381,297.7755,105.6596,254.6278,0,U,46495,999,22921,.85534E-3,.17263E-3,0
IXPE,2021-121A,2024-11-28T22:00:00.999936,15.01838973,.0008364,0.2289,248.1744,212.2885,334.7446,0,U,49954,999,580,.92599E-3,.13307E-3,0
