OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1008,2019-074B,2024-11-28T16:25:19.449696,15.06399337,.0001977,53.0530,118.5949,96.6435,263.4779,0,U,44714,999,27851,-.46713E-3,-.7233E-4,0
STARLINK-1009,2019-074C,2024-11-28T22:00:00.999936,15.53958153,.0001144,53.0549,114.0571,58.4432,173.8664,0,U,44715,999,584,.17167E-1,.1242941E-1,0
STARLINK-1010,2019-074D,2024-11-28T18:11:29.448672,15.06408657,.0001547,53.0528,118.2624,90.3821,269.7345,0,U,44716,999,27850,.13372E-3,.1711E-4,0
STARLINK-1011,2019-074E,2024-11-28T19:44:22.915680,15.06410167,.000119,53.0520,137.9766,91.8563,268.2563,0,U,44717,999,27825,.18757E-3,.2514E-4,0
STARLINK-1012,2019-074F,2024-11-29T03:02:17.431296,15.06404120,.0000881,53.0535,116.6122,74.5534,285.5553,0,U,44718,999,27874,-.12334E-3,-.2118E-4,0
STARLINK-1013,2019-074G,2024-11-29T03:12:53.165088,15.06401289,.0001015,53.0526,116.5743,105.7610,254.3491,0,U,44719,999,27874,.14217E-3,.1837E-4,0
STARLINK-1014,2019-074H,2024-11-29T02:16:04.463040,15.18938001,.0002002,53.0489,106.3955,188.8602,171.2357,0,U,44720,999,27889,.19384E-2,.40905E-3,0
STARLINK-1015,2019-074J,2024-11-29T02:35:47.801760,15.06399994,.0001224,53.0521,117.0424,98.1586,261.9542,0,U,44721,999,27873,.1292E-3,.1644E-4,0
STARLINK-1017,2019-074L,2024-11-28T18:16:49.500192,15.06389809,.0001543,53.0531,118.2507,94.3096,265.8070,0,U,44723,999,27852,-.14381E-4,-.496E-5,0
STARLINK-1019,2019-074M,2024-11-29T02:56:59.731584,15.06393032,.0000593,53.0522,116.6277,85.1394,274.9662,0,U,44724,999,27874,.43277E-3,.6169E-4,0
STARLINK-1020,2019-074N,2024-11-28T19:07:13.669536,15.06409346,.0001354,53.0533,138.0904,83.8393,276.2750,0,U,44725,999,27824,.11139E-3,.1378E-4,0
STARLINK-1021,2019-074P,2024-11-28T18:53:56.803200,15.06408060,.0001211,53.0544,118.1339,101.5051,258.6074,0,U,44726,999,27852,-.4103E-4,-.893E-5,0
STARLINK-1027,2019-074V,2024-11-28T20:26:50.892288,15.06408417,.0001397,53.0520,137.8558,100.8442,259.2705,0,U,44732,999,27825,.47245E-4,.422E-5,0
STARLINK-1028,2019-074W,2024-11-28T22:00:00.999936,15.54078943,.0001271,53.0490,113.9747,64.0975,324.2636,0,U,44733,999,574,.17143E-1,.1247025E-1,0
STARLINK-1029,2019-074X,2024-11-28T11:12:11.021472,15.06416906,.0001413,53.0562,39.5748,95.8879,264.2271,0,U,44734,999,27957,.4143E-3,.5898E-4,0
STARLINK-1030,2019-074Y,2024-11-28T19:01:55.486848,15.06405563,.0001328,53.0526,138.1104,82.6205,277.4935,0,U,44735,999,27824,.17519E-3,.2329E-4,0
STARLINK-1031,2019-074Z,2024-11-28T19:23:08.806848,15.06408900,.0001483,53.0537,138.0378,89.0962,271.0196,0,U,44736,999,27825,.15035E-3,.1959E-4,0
STARLINK-1032,2019-074AA,2024-11-28T22:00:00.999936,15.46554827,.0001411,53.0543,135.0503,66.2268,308.6745,0,U,44737,999,585,.22943E-1,.1284426E-1,0
STARLINK-1035,2019-074AD,2024-11-28T19:33:47.073888,15.06401123,.0001439,53.0532,138.0143,108.7684,251.3461,0,U,44740,999,27825,-.33941E-4,-.787E-5,0
STARLINK-1036,2019-074AE,2024-11-28T19:49:41.237472,15.06405996,.0001469,53.0532,137.9577,68.3611,291.7534,0,U,44741,999,27825,.43567E-3,.6215E-4,0
STARLINK-1038,2019-074AG,2024-11-29T06:00:00.999648,15.36843446,.0001317,53.0512,153.7936,90.6696,221.3285,0,U,44743,999,27824,.28554E-1,.1145748E-1,0
STARLINK-1039,2019-074AH,2024-11-28T19:41:44.138400,15.06405246,.0001515,53.0534,157.9825,93.9333,266.1829,0,U,44744,999,27814,.68472E-4,.739E-5,0
STARLINK-1042,2019-074AL,2024-11-29T03:48:37.703808,15.27785006,.0004995,53.0520,132.6563,143.5047,216.6292,0,U,44747,999,27854,.87547E-3,.2381E-3,0
STARLINK-1043,2019-074AM,2024-11-28T20:45:27.474048,15.06411974,.0001365,53.0518,157.7873,87.0850,273.0295,0,U,44748,999,27798,.12282E-2,.18066E-3,0
STARLINK-1046,2019-074AQ,2024-11-28T19:31:08.491872,15.06401881,.0001244,53.0526,158.0175,99.1918,260.9212,0,U,44751,999,27797,.51519E-3,.7401E-4,0
STARLINK-1047,2019-074AR,2024-11-28T19:21:44.091648,15.11080748,.0001516,53.0523,137.0683,217.8472,142.2412,0,U,44752,999,27826,.11185E-2,.18691E-3,0
STARLINK-1048,2019-074AS,2024-11-28T18:32:45.518784,15.06429170,.0001582,53.0528,118.1966,84.6913,275.4257,0,U,44753,999,27852,.11672E-2,.1716E-3,0
STARLINK-1052,2019-074AW,2024-11-28T22:00:00.999936,15.54664389,.0001202,53.0296,83.9619,30.2516,312.8198,0,U,44757,999,598,.16746E-2,.114057E-2,0
STARLINK-1053,2019-074AX,2024-11-28T20:11:43.728576,15.12118034,.00018,53.0512,156.3768,67.9890,292.1293,0,U,44758,999,27817,.10742E-2,.18469E-3,0
STARLINK-1054,2019-074AY,2024-11-28T20:13:34.340448,15.06412068,.0001276,53.0518,157.8829,107.7309,252.3819,0,U,44759,999,27815,.26188E-3,.3623E-4,0
STARLINK-1055,2019-074AZ,2024-11-28T22:00:00.999936,15.77716402,.0002517,53.0016,55.0467,11.1180,241.0621,0,U,44760,999,606,.13516E-2,.237067E-2,0
STARLINK-1056,2019-074BA,2024-11-28T20:08:16.562976,15.06408414,.0001544,53.0521,157.9060,49.7907,310.3217,0,U,44761,999,27815,.6359E-3,.9205E-4,0
STARLINK-1057,2019-074BB,2024-11-28T10:37:40.878336,15.06412852,.000152,53.0527,139.6799,90.5058,269.6105,0,U,44762,999,27819,.46621E-3,.6672E-4,0
STARLINK-1058,2019-074BC,2024-11-29T06:00:00.999648,15.50267171,.0001228,53.0511,151.9953,66.6050,168.5747,0,U,44763,999,27827,.21851E-1,.1379009E-1,0
