OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
NOAA 15,1998-030A,2024-11-29T02:47:41.559072,14.26809828,.0009928,98.5546,357.7114,196.8425,163.2427,0,U,25338,999,38095,.25025E-3,.564E-5,0
DMSP 5D-3 F16 (USA 172),2003-048A,2024-11-29T03:42:51.186240,14.14212887,.0006596,99.0205,342.1975,312.1375,131.5301,0,U,28054,999,8959,.30523E-3,.537E-5,0
NOAA 18,2005-018A,2024-11-29T02:08:00.983328,14.13435562,.0013424,98.8625,49.5964,318.3947,41.6203,0,U,28654,999,655,.33045E-3,.577E-5,0
METEOSAT-9 (MSG-2),2005-049B,2024-11-26T20:19:42.717216,1.00276594,.0001814,8.0635,59.4636,203.9464,153.5423,0,U,28912,999,131,0,.144E-5,0
EWS-G1 (GOES 13),2006-018A,2024-11-28T19:59:58.934400,0.98834350,.0063786,3.0558,83.2913,256.8492,191.3327,0,U,29155,999,3766,0,-.216E-5,0
DMSP 5D-3 F17 (USA 191),2006-050A,2024-11-29T03:14:13.138656,14.14677196,.0009298,98.7425,341.3210,225.6933,134.3479,0,U,29522,999,93251,.33371E-3,.599E-5,0
FENGYUN 3A,2008-026A,2024-11-29T01:54:43.383456,14.19292938,.0008111,98.6254,276.5913,323.8039,36.2587,0,U,32958,999,85534,.28122E-3,.547E-5,0
NOAA 19,2009-005A,2024-11-29T03:14:47.854176,14.13213673,.001381,99.0266,31.5207,183.4544,176.6535,0,U,33591,999,81492,.31885E-3,.552E-5,0
GOES 14,2009-033A,2024-11-28T15:16:36.744096,1.00273257,.000303,0.2126,91.7802,117.8006,339.0768,0,U,35491,999,92,0,-.39E-6,0
DMSP 5D-3 F18 (USA 210),2009-057A,2024-11-29T04:15:17.137152,14.14402017,.0012159,98.8361,307.5070,59.4008,300.8362,0,U,35951,999,77968,.42341E-3,.767E-5,0
