OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ISS (ZARYA),1998-067A,2024-11-27T21:47:46.167072,15.49960541,.0006855,51.6388,224.2748,275.7348,84.2859,0,U,25544,999,48394,.3986E-3,.2234E-3,0
CSS (TIANHE),2021-035A,2024-11-27T14:08:32.473536,15.59254570,.0001333,41.4649,166.9165,15.6095,344.4784,0,U,48274,999,20465,.27558E-3,.22006E-3,0
ISS (NAUKA),2021-066A,2024-11-27T21:47:46.167072,15.49960541,.0006855,51.6388,224.2748,275.7348,84.2859,0,U,49044,999,18953,.3986E-3,.2234E-3,0
FREGAT DEB,2011-037PF,2024-11-27T18:05:01.982688,12.23494326,.0928343,51.6331,235.7419,111.8734,258.3381,0,U,49271,999,15517,.51721E-1,.23019E-3,0
CSS (WENTIAN),2022-085A,2024-11-27T14:08:32.473536,15.59254570,.0001333,41.4649,166.9165,15.6095,344.4784,0,U,53239,999,13369,.27558E-3,.22006E-3,0
CSS (MENGTIAN),2022-143A,2024-11-27T14:08:32.473536,15.59254570,.0001333,41.4649,166.9165,15.6095,344.4784,0,U,54216,999,11811,.27558E-3,.22006E-3,0
1998-067WL,1998-067WL,2024-11-27T19:14:13.076736,16.00121187,.0006825,51.6141,199.3160,193.8695,166.2128,0,U,59561,999,3499,.99763E-3,.526843E-2,.13246E-3
SZ-17 MODULE,2023-164C,2024-11-27T22:29:59.720064,16.02681433,.0013937,41.4651,141.4910,329.3363,30.6675,0,U,59624,999,3340,.6162E-3,.387795E-2,.72761E-4
CYGNUS NG-21,2024-139A,2024-11-27T21:47:46.167072,15.49960541,.0006855,51.6388,224.2748,275.7348,84.2859,0,U,60378,999,1744,.3986E-3,.2234E-3,0
PROGRESS-MS 28,2024-145A,2024-11-27T21:47:46.167072,15.49960541,.0006855,51.6388,224.2748,275.7348,84.2859,0,U,60450,999,1608,.3986E-3,.2234E-3,0
COSMOGIRLSAT,1998-067WT,2024-11-28T01:02:28.164192,15.94036345,.0010801,51.6189,213.0911,207.8873,152.1557,0,U,60953,999,1420,.20055E-2,.75923E-2,.25368E-3
SAKURA,1998-067WU,2024-11-26T17:38:18.650976,16.13092160,.0010323,51.6124,217.8107,214.7181,145.3161,0,U,60954,999,1402,.20174E-2,.2223257E-1,.53765E-2
1998-067WY,1998-067WY,2024-11-28T01:31:44.577696,15.87414472,.0010381,51.6252,214.0119,207.2800,152.7660,0,U,60958,999,1418,.19134E-2,.551056E-2,0
SOYUZ-MS 26,2024-162A,2024-11-27T21:47:46.167072,15.49960541,.0006855,51.6388,224.2748,275.7348,84.2859,0,U,61043,999,48378,.3986E-3,.2234E-3,0
CREW DRAGON 9,2024-178A,2024-11-27T21:47:46.167072,15.49960541,.0006855,51.6388,224.2748,275.7348,84.2859,0,U,61447,999,918,.3986E-3,.2234E-3,0
CYSAT-1,1998-067WZ,2024-11-27T16:58:57.815040,15.68234375,.0012056,51.6326,222.1751,207.5355,152.5004,0,U,61501,999,788,.23745E-2,.280824E-2,0
DORA,1998-067XA,2024-11-27T17:00:43.163424,16.17695191,.0016594,51.5998,218.3610,207.4139,152.6004,0,U,61502,999,792,.31917E-2,.5483889E-1,.1171E-4
SHENZHOU-19 (SZ-19),2024-194A,2024-11-27T14:08:32.473536,15.59254570,.0001333,41.4649,166.9165,15.6095,344.4784,0,U,61683,999,20419,.27558E-3,.22006E-3,0
2024-194B,2024-194B,2024-10-30T03:58:36.494688,15.65002779,.0264171,41.3050,339.9579,116.1457,292.8724,0,U,61684,999,5,0,-.2234E-4,.70709E-5
DRAGON CRS-31,2024-200A,2024-11-27T21:47:46.167072,15.49960541,.0006855,51.6388,224.2748,275.7348,84.2859,0,U,61791,999,303,.3986E-3,.2234E-3,0
TIANZHOU-8,2024-211A,2024-11-27T14:08:32.473536,15.59254570,.0001333,41.4649,166.9165,15.6095,344.4784,0,U,61983,999,20465,.27558E-3,.22006E-3,0
PROGRESS-MS 29,2024-215A,2024-11-27T21:47:46.167072,15.49960541,.0006855,51.6388,224.2748,275.7348,84.2859,0,U,62030,999,48378,.3986E-3,.2234E-3,0
2024-013E,2024-013E,2024-11-26T14:17:49.873632,15.64003035,.0009548,41.4662,172.4871,349.7506,10.3138,0,U,62056,999,230,.11063E-2,.108869E-2,0
